2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
1067.769171801075,1075.403740065976,1111.3056925802935,1138.0666368914399,1138.0666368914399,1138.0666368914399
1410.9019799268299,1389.0029899830474,1389.0029899830474,1389.0029899830474,1389.0029899830474,1389.0029899830474
93.60178066085177,93.60178066085177,93.60178066085177,93.60178066085177,93.60178066085177,93.60178066085177
267.6223110263244,247.34777687189393,230.91223276144245,217.58876460434215,206.7880997440664,198.03254450510792
4620.098820320023,4620.098820320023,4620.098820320023,4620.098820320023,4620.098820320023,4620.098820320023
4933.0,4933.0,4933.0,4933.0,4933.0,4933.0
27.228792910637914,40.78550596573296,21.1371419251978,30.64294841084652,25.422390914956857,22.42281818770596
2317.4958555267312,2298.8453275232328,2163.8589346611275,2028.0954817616814,1969.6047624109117,1996.523317148969
8465.079942413468,8465.079942413468,8465.079942413468,8465.079942413468,8465.079942413468,8465.079942413468
1171.8829490653018,1252.2108341396397,1174.2970358706698,1230.1202565796912,1195.6741585412558,1214.818030846367
54.890357198287056,54.890357198287056,54.890357198287056,54.890357198287056,54.890357198287056,54.890357198287056
1377.9068378092027,1258.6042097592986,1302.4977504630253,1332.455782967706,1244.8589947228318,1364.5111673158005
7270.843360700601,7155.721138633087,7155.721138633087,7155.721138633087,7155.721138633087,7155.721138633087
21829.604182598192,20261.50564683711,21007.021791640775,20652.58340050156,20821.092927745187,20740.978974286016
14.350817499237765,14.077690310217253,16.714770542963123,14.17911098113192,14.762470531351722,14.342561075610671
7.416285558164256,4.1720707168260995,6.325135051455528,5.27849760315048,6.00442543771818,5.66932790463367
31.031463239567742,23.77332027111245,26.541401668080933,25.485721909009765,25.888332813057993,25.73478668444684
6008.699044392257,5977.278542993418,5912.752215384285,5912.752215384285,5912.752215384285,5912.752215384285
21343.0,21343.0,21343.0,21343.0,21343.0,21343.0
2633.019240181153,2517.1070434405315,2245.5897218791806,2141.4183758375743,2297.084818217952,2503.8276900048104
1960.5044979963557,2046.099171505119,1873.237371568146,1986.4277708269142,1869.9130525480095,1871.1637621310483
30972.568646130443,31931.72360188597,31931.72360188597,31931.72360188597,31931.72360188597,31931.72360188597
151.6600568043876,220.47669471439278,197.27776584098234,212.61072091152036,226.99601006542906,207.2847513988821
811.5425366874281,944.1639078614585,1039.4721679937588,1107.9653857084686,1157.1879910356718,1192.561783595534
108.49010131717395,109.19005591695749,108.99485423606474,109.04929161848231,109.03411025021272,109.03834399423754
3980.0,3980.0,3980.0,3980.0,3980.0,3980.0
572.9484883467518,580.7508953716101,503.6729794211776,453.7149100648599,420.8755619001855,399.2890033766958
1116.287793517664,1100.2335842420914,1160.7093449909967,1230.3923847251963,1273.7739576496913,1285.8097520250747
87.66585436306794,87.66585436306794,87.66585436306794,87.66585436306794,87.66585436306794,87.66585436306794
6004.361989286259,6879.3330288500165,7060.350282377903,6696.479812882432,6533.2322938782,6665.270977005585
14878.048959883892,15019.42524972204,15019.42524972204,15019.42524972204,15019.42524972204,15019.42524972204
26180.024176568157,26448.595781430584,28447.972501324155,28447.972501324155,28447.972501324155,28447.972501324155
3373.6143415547963,3373.6143415547963,3373.6143415547963,3373.6143415547963,3373.6143415547963,3373.6143415547963
657.453456766399,627.046039074916,633.4729149587661,626.6035438030287,625.5951147552237,622.9448564341751
4818.0,4818.0,4818.0,4818.0,4818.0,4818.0
9.507027672984625,9.507027672984625,9.507027672984625,9.507027672984625,9.507027672984625,9.507027672984625
3639.480952997996,4329.952698482423,4253.408743502448,4253.408743502448,4253.408743502448,4253.408743502448
1811.9362348587015,1811.9362348587015,1811.9362348587015,1811.9362348587015,1811.9362348587015,1811.9362348587015
3216.796227607872,3215.9879352728544,3331.1096849111836,3178.3754466192695,3339.745447586465,3180.505261132222
22436.0,22436.0,22436.0,22436.0,22436.0,22436.0
4242.550420619008,3981.729768161205,3351.587609339258,2701.776898075254,2188.5693868023814,1849.3319760188288
